,LarcenyCode
All Other,27.304280755881216
From Building,20.18897030466641
Motor Vehicle,17.392981102969536
From Motor Vehicle,15.406864635557268
Shoplifting,13.632857693790976
Of Bicycle,2.7767065175472427
Of MV Parts/Accessories,1.5811801002699577
From Mailbox,0.6556112610875434
Unknown,0.34708831469340534
Purse Snatch,0.28924026224450444
From Coin Operated Machine/Device,0.21210952564596994
Pocket Picking,0.21210952564596994
