,Address,Number of Incidents
184,100 WINDSOR PL     ,4
185,200 MILBURN DR     ,4
186,400 GRANT BLVD   ,4
187,600 HIAWATHA BLVD W ,4
188,100 THURGOOD TER    ,4
189,300 ONONDAGA AV   ,4
190,800 JAMES ST     ,4
191,1000 BUTTERNUT ST     ,4
192,400 LODI ST     ,4
193,200 GRANT BLVD   ,4
194,100 REMINGTON AVE    ,4
195,400 UNIVERSITY AV   ,4
196,1100 E GENESEE ST     ,4
197,900 S SALINA ST     ,4
198,900 WILLIS AV   ,4
199,200 WAVERLY AVE    ,4
200,300 BEECHER ST     ,4
201,100 GREENLAND DR     ,4
202,400 UNIVERSITY PL     ,4
203,100 HALL AV   ,4
204,2500 JAMES ST     ,4
205,100 HARVARD PL     ,4
206,900 POND ST     ,4
207,200 WALTON ST     ,4
208,900 PARK AV   ,4
209,500 N SALINA ST     ,4
210,200 CHERRY ST     ,4
211,100 FERNWOOD AV   ,4
212,300 CARBON ST     ,4
213,500 PLUM ST     ,4
214,500 E LAUREL ST     ,4
215,200 SENECA DR     ,4
216,1000 PARK ST     ,4
217,1000 OAK ST     ,4
218,800 UNIVERSITY AV   ,4
219,100 DALE ST     ,4
220,1000 MONTGOMERY ST     ,4
221,700 MARCELLUS ST     ,4
222,800 SUMNER AV   ,4
223,1400 LODI ST     ,4
224,100 DYER CT     ,4
225,700 S  CROUSE        ,4
226,200 SEELEY RD     ,4
227,400 WOLF ST     ,4
228,1700 W ONONDAGA ST     ,4
229,400 EUCLID AV   ,4
230,800 PARK ST     ,4
231,900 E  GENESEE ST     ,4
232,800 BURNET AV   ,4
233,300 W FAYETTE ST     ,4
234,500 W GENESEE ST     ,4
235,800 VALLEY DR     ,4
236,1100 CANNON ST     ,4
237,800 ACKERMAN AVE    ,4
238,200 S  GEDDES ST     ,4
239,1100 WOLF ST     ,4
240,1100 PARK ST     ,4
241,300 HIXSON AVE    ,4
242,200 MARTIN LUTHER KING      W ,4
243,200 TOMPKINS ST     ,4
244,1500 ERIE BLVD E ,4
245,100 BERTRAM PL     ,4
246,400 BURNET AV   ,4
247,400 COLUMBUS AV   ,4
248,600 WOLF ST     ,4
249,200 W JEFFERSON ST     ,4
250,100 COLUMBIA AV   ,4
251,100 DABLON CT     ,4
252,100 E  ONONDAGA ST     ,4
253,1100 MADISON ST     ,4
254,600 BARNES AV   ,4
255,1600 LODI ST     ,4
256,500 CATHERINE ST     ,4
257,500 VALLEY DR     ,4
258,100 BRIGGS ST     ,4
259,300 FURMAN ST     ,4
260,1300 PARK ST     ,4
261,200 WILKINSON ST     ,4
262,4000 S  SALINA ST     ,4
263,900 LANCASTER AV   ,4
264,300 FOBES AV   ,4
265,800 LIVINGSTON AV   ,4
266,100 SMITH DR     ,4
267,300 S  CLINTON ST     ,4
268,600 PARK AV   ,4
269,300 BURT ST     ,4
270,300 ROWLAND ST     ,4
271,500 S CROUSE AV   ,4
272,200 LINCOLN AV   ,4
273,100 LOMA AV   ,4
274,1800 W  GENESEE ST     ,4
275,400 S ALVORD ST     ,3
276,200 GENESEE PARK DR     ,3
277,800 E GENESEE ST     ,3
278,200 HARTSON ST     ,3
279,800 N CLINTON ST     ,3
280,400 W BEARD AV   ,3
281,300 WARNER AV   ,3
282,100 W  OSTRANDER AVE    ,3
283,300 W WATER ST     ,3
284,400 TURTLE ST     ,3
285,100 WOOD AV   ,3
286,200 HOPPER RD     ,3
287,1200 E  FAYETTE ST     ,3
288,1500 SOUTH AV   ,3
289,1200 BURNET AV   ,3
290,1200 MILTON AV   ,3
291,3800 S SALINA ST     ,3
292,200 MOORE AV   ,3
293,200 NORTH AV   ,3
294,300 STADIUM PL     ,3
295,800 ONONDAGA AV   ,3
296,300 N SALINA ST     ,3
297,1100 N STATE ST     ,3
298,100 JOSEPHINE ST     ,3
299,800 N MCBRIDE ST     ,3
300,1200 LODI ST     ,3
301,500 COMSTOCK AV   ,3
302,100 SOUTH AV   ,3
303,200 SEDGWICK ST     ,3
304,300 S  BEECH ST     ,3
305,1200 MADISON ST     ,3
306,100 LAKEVIEW AV   ,3
307,100 VICTORIA PL     ,3
308,900 WESTCOTT ST     ,3
309,300 S  SALINA ST     ,3
310,100 NEUTRAL CT     ,3
311,1600 N SALINA ST     ,3
312,100 LEA LN     ,3
313,3200 S SALINA ST     ,3
314,500 CARBON ST     ,3
315,100 W SENECA TPKE   ,3
316,100 W MATSON AV   ,3
317,300 PEARL ST     ,3
318,100 MAYAR ST     ,3
319,1800 E  FAYETTE ST     ,3
320,500 SEYMOUR ST     ,3
321,1000 HIGHLAND ST     ,3
322,3000 ERIE BLVD E ,3
323,1800 LODI ST     ,3
324,400 VAN BUREN ST   ,3
325,500 SLOCUM DR     ,3
326,100 W CALTHROP AV   ,3
327,1800 W  FAYETTE ST     ,3
328,900 HAWLEY AV   ,3
329,1000 IRVING AV   ,3
330,100 MARY ST     ,3
331,800 S  SALINA ST     ,3
332,300 S BEECH ST     ,3
333,1900 E FAYETTE ST     ,3
334,400 SECOND NORTH ST     ,3
335,900 E BRIGHTON AV   ,3
336,1500 VALLEY DR     ,3
337,1200 S GEDDES ST     ,3
338,100 SOUTH AVE    ,3
339,300 PROSPECT AVE    ,3
340,200 WAVERLY        ,3
341,900 BURNET AV   ,3
342,1500 BURNET AV   ,3
343,1000 E  ADAMS ST     ,3
344,1800 BUTTERNUT ST     ,3
345,500 SOLAR ST     ,3
346,900 N MCBRIDE ST     ,3
347,200 W FAYETTE ST     ,3
348,1000 N  TOWNSEND ST     ,3
349,1700 N  SALINA ST     ,3
350,1800 ERIE BLVD E ,3
351,200 W BORDEN AV   ,3
352,300 N  SALINA ST     ,3
353,300 FITCH ST     ,3
354,100 PETERS ST     ,3
355,700 N  ALVORD ST     ,3
356,600 MIDLAND AV   ,3
357,100 HERKIMER ST     ,3
358,100 GREEN ST     ,3
359,200 WOODBINE AV   ,3
360,2700 ERIE BLVD E ,3
361,600 S  CROUSE AVE    ,3
362,500 DANFORTH ST     ,3
363,100 COMSTOCK PL     ,3
364,800 LANCASTER AV   ,3
365,2000 PARK ST     ,3
366,2100 ERIE BLVD E ,3
367,700 W  ONONDAGA ST     ,3
368,700 IRVING AVE    ,3
369,100 E WASHINGTON ST     ,3
370,2100 GRANT BLVD   ,3
371,2100 PARK ST     ,3
372,700 N  SALINA ST     ,3
373,200 GRUMBACH AV   ,3
374,700 N ALVORD ST     ,3
375,100 FISH AV   ,3
376,600 N  SALINA ST     ,3
377,100 PARKSIDE AV   ,3
378,600 CATHERINE ST     ,3
379,600 COMSTOCK        ,3
380,300 BRUCE ST     ,3
381,200 CARLTON RD     ,3
382,400 DURSTON AV   ,3
383,200 DALE ST     ,3
384,100 ANNETTA ST     ,3
385,100 FELLOWS AV   ,3
386,100 MULBERRY TER    ,3
387,100 ELK ST     ,3
388,700 SOUTH AV   ,3
389,200 FITCH ST     ,3
390,100 E JEFFERSON ST     ,3
391,200 FURMAN ST     ,3
392,100 E ONONDAGA ST     ,3
393,500 CLARENDON ST     ,3
394,400 E DIVISION ST     ,3
395,700 CANAL ST     ,3
396,600 SOUTH AVE    ,3
397,600 S GEDDES ST     ,3
398,600 ROWLAND ST     ,3
399,100 CONCORD PL     ,3
400,600 WALNUT AV   ,3
401,200 ASHWORTH PL     ,3
402,200 LAKEVIEW AV   ,3
403,100 BALLARD AV   ,3
404,400 ROWLAND ST     ,3
405,200 TEALL AV   ,3
406,200 BARRETT ST     ,3
407,700 E  ADAMS ST     ,3
408,700 E FAYETTE ST     ,3
409,400 GRAVES ST     ,3
410,700 ERIE BLVD W ,3
411,200 BEECHER ST     ,3
412,0 MAXWELL CT     ,3
413,600 W GENESEE ST     ,3
414,200 S SALINA ST     ,3
415,200 HIER AV   ,3
416,800 PARK AV   ,3
417,2600 JAMES ST     ,3
418,100 BALL CIR    ,3
419,100 BALDWIN AV   ,3
420,300 E WASHINGTON ST     ,3
421,200 HERALD PL     ,3
422,400 JAMES ST     ,3
423,700 LIVINGSTON AVE    ,3
424,700 PARK AVE    ,3
425,400 SHONNARD ST     ,3
426,100 LIGHT CT     ,3
427,500 UNIVERSITY AV   ,3
428,700 EUCLID AV   ,3
429,800 HIAWATHA BLVD E ,3
430,700 E GENESEE ST     ,3
431,1900 JAMES ST     ,3
432,600 N FRANKLIN ST     ,3
433,100 FARM ACRE RD     ,3
434,300 DOUGLAS ST     ,3
435,700 W ONONDAGA ST     ,3
436,100 HOPE AV   ,3
437,900 SPENCER ST     ,3
438,100 HATCH ST     ,3
439,100 MALVERNE DR     ,3
440,300 STAFFORD AV   ,3
441,700 STINARD AV   ,3
442,200 ROBERT DR     ,3
443,2800 ERIE BLVD E ,3
444,100 HELEN ST     ,3
445,500 HIAWATHA BLVD E ,3
446,300 UNIVERSITY AV   ,3
447,200 GRAND AV   ,3
448,100 ONONDAGA AV   ,3
449,700 S WARREN ST     ,3
450,100 HIGH ST     ,3
451,300 VALLEY DR     ,3
452,200 PALMER AVE    ,3
453,300 N  EDWARDS AVE    ,2
454,1000 COMSTOCK AV   ,2
455,1600 W  ONONDAGA ST     ,2
456,300 WHITTIER AV   ,2
457,1200 PARK ST     ,2
458,500 JAMES ST     ,2
459,1700 JAMES ST     ,2
460,300 JOHN ST     ,2
461,400 S  ALVORD ST     ,2
462,500 S  STATE ST     ,2
463,2600 ERIE BLVD E,2
464,300 E DIVISION ST     ,2
465,300 W MATSON AV   ,2
466,300 MILBURN DR     ,2
467,1700 MEADOWBROOK DR     ,2
468,1600 SPRING ST     ,2
469,700 E BRIGHTON AV   ,2
470,300 WHITTIER AVE    ,2
471,400 BRADLEY ST     ,2
472,400 CARBON ST     ,2
473,700 E  GENESEE ST     ,2
474,200 WARNER AV   ,2
475,700 COURT ST     ,2
476,700 EUCLID AVE    ,2
477,300 PLEASANTVIEW AV   ,2
478,300 E BRIGHTON AV   ,2
479,400 VELASKO RD     ,2
480,1700 GRANT BLVD   ,2
481,300 FOREST HILL DR     ,2
482,200 HOLLAND ST     ,2
483,400 BURNS AV   ,2
484,300 GARFIELD AV   ,2
485,800 TEALL AV   ,2
486,400 W DIVISION ST     ,2
487,300 N COLLINGWOOD AV   ,2
488,400 W BRIGHTON AV   ,2
489,400 W  ONONDAGA ST     ,2
490,300 PROSPECT AV   ,2
491,300 PINE ST     ,2
492,400 SPRING ST     ,2
493,400 WILKINSON ST     ,2
494,500 HIGHLAND ST     ,2
495,700 CATHERINE ST     ,2
496,200 FOREST HILL DR     ,2
497,300 W WASHINGTON ST     ,2
498,200 MARY ST     ,2
499,2400 LODI ST     ,2
500,400 WINDING RIDGE RD     ,2
501,1900 E GENESEE ST     ,2
502,200 STRATHMORE DR     ,2
503,1400 E  GENESEE ST     ,2
504,300 MIDLAND AV   ,2
505,500 HICKOK AV   ,2
506,200 RICH ST     ,2
507,200 N CLINTON ST     ,2
508,200 SLOCUM AVE    ,2
509,200 PUTNAM ST     ,2
510,200 TENNYSON AV   ,2
511,300 LEWIS ST     ,2
512,200 SHOTWELL PARK   ,2
513,400 S CLINTON ST     ,2
514,300 ESSEX ST     ,2
515,300 LYDELL ST     ,2
516,300 FELLOWS AV   ,2
517,200 PHARIS ST     ,2
518,200 LEON ST     ,2
519,300 FERNDALE DR     ,2
520,300 MAPLE ST     ,2
521,300 MERRIMAN AV   ,2
522,200 N TOWNSEND ST     ,2
523,200 W  BEARD AVE    ,2
524,1200 ERIE BLVD W ,2
525,1200 ERIE BLVD E ,2
526,200 PAUL AV   ,2
527,200 BELLE AV   ,2
528,400 GREENWOOD PL     ,2
529,200 BEATTIE ST     ,2
530,1100 W COLVIN ST     ,2
531,200 N BEECH ST     ,2
532,1500 S  SALINA ST     ,2
533,200 TAFT AV   ,2
534,3100 E  GENESEE ST     ,2
535,300 HELEN ST     ,2
536,400 PEARL ST     ,2
537,600 W ONONDAGA ST     ,2
538,1300 BURNET AV   ,2
539,600 W NEWELL ST     ,2
540,1600 S SALINA ST     ,2
541,300 E WILLOW ST     ,2
542,1600 S  GEDDES ST     ,2
543,300 N CLINTON ST     ,2
544,200 MONTGOMERY ST     ,2
545,2200 E  GENESEE ST     ,2
546,600 S WARREN ST     ,2
547,200 MYRTLE ST     ,2
548,600 S SALINA ST     ,2
549,400 S  CLINTON ST     ,2
550,200 MOORE AVE    ,2
551,1600 BURNET AV   ,2
552,1500 W GENESEE ST     ,2
553,1500 W  COLVIN ST     ,2
554,200 BRYANT AVE    ,2
555,200 BRYANT AV   ,2
556,2100 E FAYETTE ST     ,2
557,1500 S SALINA ST     ,2
558,2100 E  FAYETTE ST     ,2
559,400 IVY RIDGE RD     ,2
560,2600 MIDLAND AV   ,2
561,300 W JEFFERSON ST     ,2
562,700 TULLY ST     ,2
563,200 ROOSEVELT AV   ,2
564,300 TENNYSON AV   ,2
565,2400 GRANT BLVD   ,2
566,200 FOBES AV   ,2
567,200 RICHMOND AV   ,2
568,200 PATTISON ST     ,2
569,200 N EDWARDS AV   ,2
570,1300 E GENESEE ST     ,2
