LarcenyCode,Arrest
All Other,8.192090395480225
From Building,15.090735434574976
From Coin Operated Machine/Device,9.090909090909092
From Mailbox,5.88235294117647
From Motor Vehicle,4.25531914893617
Motor Vehicle,11.30820399113082
Of Bicycle,3.4722222222222223
Of MV Parts/Accessories,4.878048780487805
Pocket Picking,9.090909090909092
Purse Snatch,33.33333333333333
Shoplifting,45.68599717114569
Unknown,5.555555555555555
