X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8473999.64497005,5317537.24395687,2023/01/07 00:00:00+00,1938,1938,800 LANCASTER AV   ,,All Other,LARCENY,43.0365530110001,-76.1232339869999,6256
-8478771.28993233,5320921.69590909,2023/08/24 00:00:00+00,2200,2230,700 VAN RENSSELAER ST     ,,,ROBBERY,43.0587711370001,-76.166098403,6257
-8475634.45195371,5318461.85734246,2023/06/24 00:00:00+00,0850,930,700 IRVING AV   ,,From Motor Vehicle,LARCENY,43.042623678,-76.137919708,6258
-8477219.22449978,5322743.65776707,2023/10/03 00:00:00+00,2100,2100,800 KIRKPATRICK ST     ,,From Building,BURGLARY,43.070728553,-76.1521559619999,6259
-8477352.77571741,5315575.79874588,2023/08/07 00:00:00+00,0516,516,700 W COLVIN ST     ,,Motor Vehicle,LARCENY,43.0236729040001,-76.153355673,6260
-8475634.45195371,5318461.85734246,2023/05/06 00:00:00+00,1900,535,700 IRVING AV   ,,From Motor Vehicle,LARCENY,43.042623678,-76.137919708,6261
-8476023.01931549,5321575.4377413,2023/04/30 00:00:00+00,1753,1753,800 HIGHLAND ST     ,,,AGGRAVATED ASSAULT,43.0630618700001,-76.141410268,6262
-8477352.77571741,5315575.79874588,2023/10/26 00:00:00+00,1853,1853,700 W COLVIN ST ,Yes,,MURDER,43.0236729040001,-76.153355673,6263
-8475634.45195371,5318461.85734246,2023/10/18 00:00:00+00,0800,1130,700 IRVING AV   ,,From Motor Vehicle,LARCENY,43.042623678,-76.137919708,6264
-8473999.64497005,5317537.24395687,2023/09/11 00:00:00+00,0143,143,800 LANCASTER AV   ,,From Building,BURGLARY,43.0365530110001,-76.1232339869999,6265
-8477786.93675963,5314488.65639326,2023/05/12 00:00:00+00,1724,1724,700 W NEWELL ST     ,,Motor Vehicle,MV THEFT,43.016532866,-76.1572558079999,6266
-8475634.45195371,5318461.85734246,2023/05/05 00:00:00+00,0600,1700,700 IRVING AV   ,,Motor Vehicle,MV THEFT,43.042623678,-76.137919708,6267
-8473999.64497005,5317537.24395687,2023/11/12 00:00:00+00,1000,715,800 LANCASTER AV   ,,From Motor Vehicle,LARCENY,43.0365530110001,-76.1232339869999,6268
-8481654.0811369,5319923.05244442,2023/10/29 00:00:00+00,2230,930,700 WILLIS AV   ,,Motor Vehicle,MV THEFT,43.0522161160001,-76.191994957,6269
-8475634.45195371,5318461.85734246,2023/05/20 00:00:00+00,0200,200,700 IRVING AVE    ,,,AGGRAVATED ASSAULT,43.042623678,-76.137919708,6270
-8474417.9279567,5317508.45914355,2023/10/14 00:00:00+00,0400,830,800 LIVINGSTON AV   ,,From Motor Vehicle,LARCENY,43.036364011,-76.1269914869999,6271
-8481654.0811369,5319923.05244442,2023/10/13 00:00:00+00,2110,956,700 WILLIS AVE    ,,From Building,LARCENY,43.0522161160001,-76.191994957,6272
-8475634.45195371,5318461.85734246,2023/07/25 00:00:00+00,0700,1930,700 IRVING AV   ,,All Other,LARCENY,43.042623678,-76.137919708,6273
-8474417.9279567,5317508.45914355,2023/04/10 00:00:00+00,2230,845,800 LIVINGSTON AV   ,,From Motor Vehicle,LARCENY,43.036364011,-76.1269914869999,6274
-8478177.5544038,5323507.7239462,2023/07/23 00:00:00+00,1000,1000,700 WOLF ST     ,Yes,From Building,BURGLARY,43.0757423750001,-76.160764786,6275
-8475634.45195371,5318461.85734246,2023/01/23 00:00:00+00,1147,1147,700 IRVING AVE    ,,All Other,LARCENY,43.042623678,-76.137919708,6276
-8474417.9279567,5317508.45914355,2023/07/30 00:00:00+00,0551,700,800 LIVINGSTON AV   ,,All Other,LARCENY,43.036364011,-76.1269914869999,6277
-8474136.40096449,5317527.64900924,2023/08/21 00:00:00+00,1151,1504,800 ACKERMAN AV   ,,All Other,LARCENY,43.0364900110001,-76.124462487,6278
-8475634.45195371,5318461.85734246,2023/09/17 00:00:00+00,2300,1246,700 IRVING AVE    ,,From Building,LARCENY,43.042623678,-76.137919708,6279
-8474417.9279567,5317508.45914355,2023/02/21 00:00:00+00,1400,1630,800 LIVINGSTON AV   ,Yes,Motor Vehicle,BURGLARY,43.036364011,-76.1269914869999,6280
-8478177.5544038,5323507.7239462,2023/12/13 00:00:00+00,1615,1615,700 WOLF ST     ,,All Other,LARCENY,43.0757423750001,-76.160764786,6281
-8475634.45195371,5318461.85734246,2023/05/21 00:00:00+00,0939,941,700 IRVING AVE    ,,All Other,LARCENY,43.042623678,-76.137919708,6282
-8474417.9279567,5317508.45914355,2023/02/28 00:00:00+00,1700,1815,800 LIVINGSTON AV   ,,,BURGLARY,43.036364011,-76.1269914869999,6283
-8474136.40096449,5317527.64900924,2023/11/14 00:00:00+00,2250,2250,800 ACKERMAN AV   ,,All Other,LARCENY,43.0364900110001,-76.124462487,6284
-8476201.57121462,5320346.27976116,2023/03/20 00:00:00+00,0845,845,700 JAMES ST     ,,From Building,LARCENY,43.054994234,-76.143014227,6285
-8474417.9279567,5317508.45914355,2023/12/03 00:00:00+00,0816,818,800 LIVINGSTON AVE    ,,All Other,LARCENY,43.036364011,-76.1269914869999,6286
-8474136.40096449,5317527.64900924,2023/03/25 00:00:00+00,2115,1915,800 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6287
-8476201.57121462,5320346.27976116,2023/04/06 00:00:00+00,1600,1630,700 JAMES ST     ,,All Other,LARCENY,43.054994234,-76.143014227,6288
-8474417.9279567,5317508.45914355,2023/02/18 00:00:00+00,1755,1845,800 LIVINGSTON AVE    ,,All Other,LARCENY,43.036364011,-76.1269914869999,6289
-8474136.40096449,5317527.64900924,2023/12/05 00:00:00+00,0000,1100,800 ACKERMAN AV   ,,All Other,LARCENY,43.0364900110001,-76.124462487,6290
-8476201.57121462,5320346.27976116,2023/07/09 00:00:00+00,0330,500,700 JAMES ST     ,,From Building,BURGLARY,43.054994234,-76.143014227,6291
-8474417.9279567,5317508.45914355,2023/09/06 00:00:00+00,1430,1530,800 LIVINGSTON AVE    ,,From Building,LARCENY,43.036364011,-76.1269914869999,6292
-8474136.40096449,5317527.64900924,2023/11/18 00:00:00+00,2200,2030,800 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6293
-8476201.57121462,5320346.27976116,2023/03/05 00:00:00+00,2216,2216,700 JAMES ST     ,Yes,,AGGRAVATED ASSAULT,43.054994234,-76.143014227,6294
-8474417.9279567,5317508.45914355,2023/10/25 00:00:00+00,0000,1020,800 LIVINGSTON AVE    ,,From Motor Vehicle,LARCENY,43.036364011,-76.1269914869999,6295
-8474136.40096449,5317527.64900924,2023/01/22 00:00:00+00,2200,1030,800 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6296
-8476201.57121462,5320346.27976116,2023/08/01 00:00:00+00,1430,1430,700 JAMES ST     ,,Of Bicycle,MV THEFT,43.054994234,-76.143014227,6297
-8474417.9279567,5317508.45914355,2023/10/02 00:00:00+00,1540,1540,800 LIVINGSTON AVE    ,,All Other,LARCENY,43.036364011,-76.1269914869999,6298
-8474136.40096449,5317527.64900924,2023/08/27 00:00:00+00,1630,835,800 ACKERMAN AV   ,,All Other,LARCENY,43.0364900110001,-76.124462487,6299
-8476201.57121462,5320346.27976116,2023/05/10 00:00:00+00,1430,2359,700 JAMES ST     ,Yes,,AGGRAVATED ASSAULT,43.054994234,-76.143014227,6300
-8477412.25795148,5316745.91547134,2023/08/15 00:00:00+00,1417,603,800 MIDLAND AV   ,,All Other,LARCENY,43.031356966,-76.153890011,6301
-8474136.40096449,5317527.64900924,2023/02/15 00:00:00+00,2200,2200,800 ACKERMAN AV   ,,All Other,LARCENY,43.0364900110001,-76.124462487,6302
-8476201.57121462,5320346.27976116,2023/02/10 00:00:00+00,0752,752,700 JAMES ST     ,,From Building,BURGLARY,43.054994234,-76.143014227,6303
