X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8477756.56791199,5312755.76231344,2023/08/07 00:00:00+00,1800,500,0 BRADFORD CT     ,,Motor Vehicle,MV THEFT,43.0051500000001,-76.156983,1
-8474596.15201994,5319959.29169773,2023/07/09 00:00:00+00,1538,1538,0 BURNET AV & MATHER ST        ,,From Motor Vehicle,LARCENY,43.0524540000001,-76.128592501,2
-8474477.9306094,5320004.53688097,2023/07/05 00:00:00+00,0026,26,0 BURNET AV & N BEECH ST        ,,,ROBBERY,43.0527510000001,-76.1275305,3
-8476238.72665502,5322079.19535077,2023/06/20 00:00:00+00,2000,2000,0 BUTTERNUT ST & GRASSMAN AV        ,,All Other,LARCENY,43.0663680000001,-76.1433479999999,4
-8476642.98349716,5321090.48701974,2023/01/16 00:00:00+00,1508,1508,0 BUTTERNUT ST & LODI ST        ,,All Other,LARCENY,43.0598790000001,-76.146979501,5
-8476357.94982966,5321464.83999971,2023/04/03 00:00:00+00,0100,105,0 BUTTERNUT ST & SCHNEIDER ST        ,,All Other,MV THEFT,43.0623360000001,-76.144419,6
-8476558.32491309,5315071.36018451,2023/09/16 00:00:00+00,2015,2015,0 CANNON ST & W BRIGHTON AV    ,,Motor Vehicle,MV THEFT,43.02036,-76.146219,7
-8476213.67988091,5320348.68165837,2023/03/28 00:00:00+00,1531,1531,0 CATHERINE ST & JAMES ST    ,Yes,Purse Snatch,LARCENY,43.05501,-76.1431230009999,8
-8478137.92199341,5316115.15188595,2023/01/08 00:00:00+00,1341,1341,0 CENTENNIAL DR     ,,,AGGRAVATED ASSAULT,43.027214912,-76.160408762,9
-8478137.92199341,5316115.15188595,2023/10/13 00:00:00+00,1800,2000,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,10
-8478137.92199341,5316115.15188595,2023/08/26 00:00:00+00,0613,613,0 CENTENNIAL DR     ,,Of Bicycle,MV THEFT,43.027214912,-76.160408762,11
-8478137.92199341,5316115.15188595,2023/09/13 00:00:00+00,0900,1200,0 CENTENNIAL DR     ,,From Building,BURGLARY,43.027214912,-76.160408762,12
-8478137.92199341,5316115.15188595,2023/05/26 00:00:00+00,1730,2157,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,13
-8478137.92199341,5316115.15188595,2023/06/26 00:00:00+00,1800,1800,0 CENTENNIAL DR     ,,All Other,LARCENY,43.027214912,-76.160408762,14
-8478137.92199341,5316115.15188595,2023/12/04 00:00:00+00,0143,143,0 CENTENNIAL DR     ,,From Building,BURGLARY,43.027214912,-76.160408762,15
-8478137.92199341,5316115.15188595,2023/05/06 00:00:00+00,2304,1703,0 CENTENNIAL DR     ,,From Building,BURGLARY,43.027214912,-76.160408762,16
-8478137.92199341,5316115.15188595,2023/08/26 00:00:00+00,2000,800,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,17
-8478137.92199341,5316115.15188595,2023/11/05 00:00:00+00,1800,1732,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,18
-8478424.31787751,5317998.87751084,2023/02/11 00:00:00+00,0155,155,0 CONGRESS AV & KELLOGG ST        ,,From Motor Vehicle,LARCENY,43.039584,-76.1629814999999,19
-8478480.42301219,5316792.67316352,2023/12/01 00:00:00+00,0830,830,0 COOLIDGE AV & STERLING AV        ,Yes,Motor Vehicle,MV THEFT,43.031664,-76.163485501,20
-8477694.45163612,5322756.67867962,2023/10/17 00:00:00+00,1500,1500,0 COURT ST & SPRING ST    ,,From Building,LARCENY,43.070814,-76.156425,21
-8476194.64424799,5324195.46518568,2023/12/17 00:00:00+00,2110,2110,0 COURT ST & WADSWORTH ST    ,,,ROBBERY,43.0802550000001,-76.142952001,22
-8477788.87839419,5320670.21482752,2023/01/26 00:00:00+00,0800,1300,0 DUPLI PARK DR     ,,From Motor Vehicle,LARCENY,43.0571205000001,-76.1572732499999,23
-8477081.30388083,5319750.20695434,2023/11/11 00:00:00+00,1800,2045,0 ERIE BLVD E & JAMES ST        ,,Motor Vehicle,MV THEFT,43.0510815000001,-76.1509169999999,24
-8473084.32190416,5319745.40834302,2023/10/07 00:00:00+00,1650,1659,0 ERIE BLVD E & WESTMORELAND AV        ,,All Other,LARCENY,43.05105,-76.1150115,25
-8481879.78607991,5319796.13664448,2023/01/24 00:00:00+00,2109,2109,0 ERIE ST & AVERY AV        ,,,AGGRAVATED ASSAULT,43.051383,-76.194022499,26
-8474128.27608882,5317536.93767989,2023/09/16 00:00:00+00,0130,130,0 EUCLID AV & ACKERMAN AV        ,,All Other,LARCENY,43.036551,-76.1243894999999,27
-8477345.64236443,5322804.15845033,2023/09/24 00:00:00+00,0330,1140,0 FIRST NORTH ST     ,,From Motor Vehicle,MV THEFT,43.0711255750001,-76.1532915929999,28
,,2023/09/22 00:00:00+00,1825,1826,0 FORESTRY DR     ,,All Other,LARCENY,,,29
-8476536.78459162,5323132.4699739,2023/10/31 00:00:00+00,1430,1433,0 GRANT BLVD & POND ST    ,,,ROBBERY,43.0732800000001,-76.1460255,30
-8473479.56175622,5322656.56165201,2023/02/28 00:00:00+00,0250,250,0 GRANT BLVD & VILLAGE DR    ,Yes,Motor Vehicle,MV THEFT,43.0701570000001,-76.1185619999999,31
-8479910.60762856,5322514.52760333,2023/02/10 00:00:00+00,1821,1821,0 HARBORSIDE DR     ,,Of Bicycle,MV THEFT,43.0692249150001,-76.176333068,32
-8479910.60762856,5322514.52760333,2023/02/10 00:00:00+00,1220,1327,0 HARBORSIDE DR     ,,Motor Vehicle,MV THEFT,43.0692249150001,-76.176333068,33
-8479910.60762856,5322514.52760333,2023/02/10 00:00:00+00,0800,1335,0 HARBORSIDE DR     ,,Motor Vehicle,MV THEFT,43.0692249150001,-76.176333068,34
-8479910.60762856,5322514.52760333,2023/02/13 00:00:00+00,1615,1615,0 HARBORSIDE DR     ,,From Motor Vehicle,LARCENY,43.0692249150001,-76.176333068,35
-8479910.60762856,5322514.52760333,2023/02/13 00:00:00+00,1737,1737,0 HARBORSIDE DR     ,,From Motor Vehicle,LARCENY,43.0692249150001,-76.176333068,36
-8479910.60762856,5322514.52760333,2023/02/13 00:00:00+00,1000,1900,0 HARBORSIDE DR     ,,From Motor Vehicle,LARCENY,43.0692249150001,-76.176333068,37
-8479618.55326342,5317558.86902501,2023/03/24 00:00:00+00,1600,1600,0 HARTSON ST & S GEDDES ST    ,,,AGGRAVATED ASSAULT,43.0366950000001,-76.173709499,38
-8476802.28157716,5320291.09479653,2023/03/07 00:00:00+00,0555,1835,0 HICKORY ST & PROSPECT AV    ,,Motor Vehicle,MV THEFT,43.054632,-76.1484105,39
-8479620.05618786,5322321.931704,2023/04/27 00:00:00+00,2021,2021,1 DESTINY USA DR,,Purse Snatch,LARCENY,43.067961,-76.1737229999999,40
-8479620.05618786,5322321.931704,2023/12/01 00:00:00+00,1419,1427,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,41
-8479620.05618786,5322321.931704,2023/08/24 00:00:00+00,1341,1341,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,42
-8479620.05618786,5322321.931704,2023/08/24 00:00:00+00,1730,1730,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,43
-8479620.05618786,5322321.931704,2023/04/15 00:00:00+00,1040,1045,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,44
-8479620.05618786,5322321.931704,2023/08/21 00:00:00+00,1700,1454,1 DESTINY USA DR,,From Motor Vehicle,LARCENY,43.067961,-76.1737229999999,45
-8479620.05618786,5322321.931704,2023/08/25 00:00:00+00,1434,1434,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,46
-8479620.05618786,5322321.931704,2023/11/29 00:00:00+00,1530,1536,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,47
-8479620.05618786,5322321.931704,2023/04/17 00:00:00+00,1518,1520,1 DESTINY USA DR,,From Building,LARCENY,43.067961,-76.1737229999999,48
-8479620.05618786,5322321.931704,2023/11/29 00:00:00+00,1441,1450,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,49
-8479620.05618786,5322321.931704,2023/11/29 00:00:00+00,1005,1005,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,50
-8479620.05618786,5322321.931704,2023/12/01 00:00:00+00,1717,1717,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,51
-8479620.05618786,5322321.931704,2023/04/16 00:00:00+00,1341,1341,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,52
-8479620.05618786,5322321.931704,2023/08/17 00:00:00+00,0003,3,1 DESTINY USA DR,Yes,From Building,BURGLARY,43.067961,-76.1737229999999,53
-8479620.05618786,5322321.931704,2023/12/01 00:00:00+00,1150,1150,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,54
-8479620.05618786,5322321.931704,2023/08/18 00:00:00+00,1525,1540,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,55
-8479620.05618786,5322321.931704,2023/08/17 00:00:00+00,1103,1105,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,56
-8479620.05618786,5322321.931704,2023/08/18 00:00:00+00,1930,1930,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,57
-8479620.05618786,5322321.931704,2023/05/06 00:00:00+00,1130,1710,1 DESTINY USA DR,,From Motor Vehicle,LARCENY,43.067961,-76.1737229999999,58
-8479620.05618786,5322321.931704,2023/11/28 00:00:00+00,1800,1900,1 DESTINY USA DR,,All Other,LARCENY,43.067961,-76.1737229999999,59
-8479620.05618786,5322321.931704,2023/11/07 00:00:00+00,1224,1224,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,60
-8479620.05618786,5322321.931704,2023/08/16 00:00:00+00,2050,2050,1 DESTINY USA DR,Yes,Shoplifting,BURGLARY,43.067961,-76.1737229999999,61
-8479620.05618786,5322321.931704,2023/08/22 00:00:00+00,2014,2014,1 DESTINY USA DR,Yes,From Building,BURGLARY,43.067961,-76.1737229999999,62
-8479620.05618786,5322321.931704,2023/04/23 00:00:00+00,2030,821,1 DESTINY USA DR,,All Other,LARCENY,43.067961,-76.1737229999999,63
-8479620.05618786,5322321.931704,2023/04/12 00:00:00+00,1330,1019,1 DESTINY USA DR,,All Other,LARCENY,43.067961,-76.1737229999999,64
-8479620.05618786,5322321.931704,2023/04/12 00:00:00+00,1630,2100,1 DESTINY USA DR,,From Motor Vehicle,LARCENY,43.067961,-76.1737229999999,65
-8479620.05618786,5322321.931704,2023/04/24 00:00:00+00,1451,1451,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,66
-8479620.05618786,5322321.931704,2023/05/04 00:00:00+00,1200,1200,1 DESTINY USA DR,,Of MV Parts/Accessories,LARCENY,43.067961,-76.1737229999999,67
-8479620.05618786,5322321.931704,2023/04/14 00:00:00+00,1400,1400,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,68
-8479620.05618786,5322321.931704,2023/04/21 00:00:00+00,2109,2109,1 DESTINY USA DR,,From Building,BURGLARY,43.067961,-76.1737229999999,69
-8479620.05618786,5322321.931704,2023/05/05 00:00:00+00,1410,1410,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,70
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1435,1435,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,71
-8479620.05618786,5322321.931704,2023/04/14 00:00:00+00,1617,1618,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,72
-8479620.05618786,5322321.931704,2023/05/05 00:00:00+00,1220,1220,1 DESTINY USA DR,Yes,Shoplifting,BURGLARY,43.067961,-76.1737229999999,73
-8479620.05618786,5322321.931704,2023/04/25 00:00:00+00,1422,1422,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,74
-8479620.05618786,5322321.931704,2023/04/23 00:00:00+00,1800,1830,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,75
-8479620.05618786,5322321.931704,2023/11/29 00:00:00+00,1334,1334,1 DESTINY USA DR,Yes,Shoplifting,BURGLARY,43.067961,-76.1737229999999,76
-8479620.05618786,5322321.931704,2023/04/16 00:00:00+00,1528,1528,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,77
-8479620.05618786,5322321.931704,2023/04/27 00:00:00+00,1853,1853,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,78
-8479620.05618786,5322321.931704,2023/05/01 00:00:00+00,1500,1517,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,79
-8479620.05618786,5322321.931704,2023/08/19 00:00:00+00,1415,1415,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,80
-8479620.05618786,5322321.931704,2023/04/20 00:00:00+00,1007,1007,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,81
-8479620.05618786,5322321.931704,2023/12/02 00:00:00+00,1653,1653,1 DESTINY USA DR,,Shoplifting,BURGLARY,43.067961,-76.1737229999999,82
-8479620.05618786,5322321.931704,2023/08/25 00:00:00+00,1500,1530,1 DESTINY USA DR,,From Motor Vehicle,LARCENY,43.067961,-76.1737229999999,83
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1250,1250,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,84
-8479620.05618786,5322321.931704,2023/04/28 00:00:00+00,1515,1515,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,85
-8479620.05618786,5322321.931704,2023/04/27 00:00:00+00,1314,1314,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,86
-8479620.05618786,5322321.931704,2023/08/22 00:00:00+00,1300,1300,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,87
-8479620.05618786,5322321.931704,2023/08/25 00:00:00+00,1930,2000,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,88
-8479620.05618786,5322321.931704,2023/04/21 00:00:00+00,1251,1251,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,89
-8479620.05618786,5322321.931704,2023/04/19 00:00:00+00,1145,1145,1 DESTINY USA DR,,From Building,LARCENY,43.067961,-76.1737229999999,90
-8479620.05618786,5322321.931704,2023/08/24 00:00:00+00,1901,1901,1 DESTINY USA DR,Yes,Shoplifting,BURGLARY,43.067961,-76.1737229999999,91
-8479620.05618786,5322321.931704,2023/12/02 00:00:00+00,1536,1536,1 DESTINY USA DR,,All Other,LARCENY,43.067961,-76.1737229999999,92
-8479620.05618786,5322321.931704,2023/11/05 00:00:00+00,0313,1500,1 DESTINY USA DR,Yes,Shoplifting,BURGLARY,43.067961,-76.1737229999999,93
-8479620.05618786,5322321.931704,2023/12/02 00:00:00+00,1635,1635,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,94
-8479620.05618786,5322321.931704,2023/11/30 00:00:00+00,2121,2121,1 DESTINY USA DR,,From Building,LARCENY,43.067961,-76.1737229999999,95
-8479620.05618786,5322321.931704,2023/04/20 00:00:00+00,2005,2010,1 DESTINY USA DR,Yes,All Other,LARCENY,43.067961,-76.1737229999999,96
-8479620.05618786,5322321.931704,2023/08/25 00:00:00+00,1646,1700,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,97
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1620,1620,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,98
-8479620.05618786,5322321.931704,2023/04/20 00:00:00+00,1502,1502,1 DESTINY USA DR,Yes,,AGGRAVATED ASSAULT,43.067961,-76.1737229999999,99
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1242,1242,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,100
-8479620.05618786,5322321.931704,2023/10/30 00:00:00+00,1525,1525,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,101
-8479620.05618786,5322321.931704,2023/01/12 00:00:00+00,1512,1512,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,102
-8479620.05618786,5322321.931704,2023/03/21 00:00:00+00,1350,1350,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,103
-8479620.05618786,5322321.931704,2023/03/19 00:00:00+00,1642,1642,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,104
-8479620.05618786,5322321.931704,2023/03/18 00:00:00+00,2150,2158,1 DESTINY USA DR,Yes,,BURGLARY,43.067961,-76.1737229999999,105
-8479620.05618786,5322321.931704,2023/03/18 00:00:00+00,2000,2045,1 DESTINY USA DR,,All Other,LARCENY,43.067961,-76.1737229999999,106
-8479620.05618786,5322321.931704,2023/01/13 00:00:00+00,1314,1314,1 DESTINY USA DR,Yes,Shoplifting,BURGLARY,43.067961,-76.1737229999999,107
-8479620.05618786,5322321.931704,2023/03/18 00:00:00+00,1758,1758,1 DESTINY USA DR,,Motor Vehicle,MV THEFT,43.067961,-76.1737229999999,108
-8479620.05618786,5322321.931704,2023/03/17 00:00:00+00,0317,1440,1 DESTINY USA DR,,All Other,LARCENY,43.067961,-76.1737229999999,109
-8479620.05618786,5322321.931704,2023/03/16 00:00:00+00,1900,1900,1 DESTINY USA DR,,From Building,LARCENY,43.067961,-76.1737229999999,110
-8479620.05618786,5322321.931704,2023/09/12 00:00:00+00,1557,1557,1 DESTINY USA DR,Yes,From Coin Operated Machine/Device,LARCENY,43.067961,-76.1737229999999,111
-8479620.05618786,5322321.931704,2023/03/16 00:00:00+00,2146,2156,1 DESTINY USA DR,,From Building,BURGLARY,43.067961,-76.1737229999999,112
-8476680.05288759,5318393.66911223,2023/07/18 00:00:00+00,2310,2310,100 ANGELOU TER    ,,,AGGRAVATED ASSAULT,43.042176,-76.147312501,113
-8476680.05288759,5318393.66911223,2023/07/08 00:00:00+00,1733,1735,100 ANGELOU TER    ,,All Other,LARCENY,43.042176,-76.147312501,114
-8476680.05288759,5318393.66911223,2023/05/21 00:00:00+00,1500,1500,100 ANGELOU TER    ,,From Building,LARCENY,43.042176,-76.147312501,115
-8473761.08874844,5317918.00212303,2023/10/09 00:00:00+00,0045,945,100 AVONDALE PL     ,,From Motor Vehicle,LARCENY,43.0390530000001,-76.121091,116
-8473761.08874844,5317918.00212303,2023/09/09 00:00:00+00,1921,1921,100 AVONDALE PL     ,,Motor Vehicle,MV THEFT,43.0390530000001,-76.121091,117
-8477709.98070509,5316681.65535956,2023/07/28 00:00:00+00,1010,1011,100 BALLARD AV   ,Yes,All Other,LARCENY,43.0309350000001,-76.1565644999999,118
-8477709.98070509,5316681.65535956,2023/05/09 00:00:00+00,0430,430,100 BALLARD AV   ,,From Building,BURGLARY,43.0309350000001,-76.1565644999999,119
-8477709.98070509,5316681.65535956,2023/09/26 00:00:00+00,1200,1008,100 BALLARD AV   ,,From Building,BURGLARY,43.0309350000001,-76.1565644999999,120
-8476151.56349373,5313747.69970813,2023/03/09 00:00:00+00,1557,1557,100 BELLE AV   ,Yes,,AGGRAVATED ASSAULT,43.011666,-76.1425649999999,121
-8477816.68043702,5314646.56259254,2023/06/07 00:00:00+00,0200,500,100 BERTRAM PL     ,,From Motor Vehicle,LARCENY,43.01757,-76.157523,122
-8477816.68043702,5314646.56259254,2023/08/27 00:00:00+00,1625,819,100 BERTRAM PL     ,,From Motor Vehicle,MV THEFT,43.01757,-76.157523,123
-8477816.68043702,5314646.56259254,2023/07/16 00:00:00+00,0230,230,100 BERTRAM PL     ,,From Motor Vehicle,LARCENY,43.01757,-76.157523,124
-8477816.68043702,5314646.56259254,2023/09/12 00:00:00+00,0427,440,100 BERTRAM PL     ,,From Motor Vehicle,LARCENY,43.01757,-76.157523,125
-8475789.38553043,5315897.71531256,2023/05/14 00:00:00+00,0552,1920,100 BERWYN AVE    ,,Motor Vehicle,MV THEFT,43.025787,-76.1393115,126
-8475789.38553043,5315897.71531256,2023/06/05 00:00:00+00,1600,700,100 BERWYN AVE    ,,Of Bicycle,MV THEFT,43.025787,-76.1393115,127
-8472025.84052595,5318689.77375915,2023/01/30 00:00:00+00,2030,2030,100 BLOSSOM RD     ,,From Building,BURGLARY,43.0441200000001,-76.1055029999999,128
-8472025.84052595,5318689.77375915,2023/08/23 00:00:00+00,1500,630,100 BLOSSOM RD     ,,Motor Vehicle,MV THEFT,43.0441200000001,-76.1055029999999,129
-8474974.35987859,5315640.07105073,2023/06/14 00:00:00+00,0925,1700,100 BOISE DR     ,,All Other,LARCENY,43.024095,-76.13199,130
-8476935.53111896,5311022.86451644,2023/08/13 00:00:00+00,0400,1230,100 BROOKLEA PL     ,,Motor Vehicle,MV THEFT,42.9937650000001,-76.1496075009999,131
-8480931.01017119,5316850.2384699,2023/11/02 00:00:00+00,2100,730,100 BUNGALOW TER    ,,Motor Vehicle,MV THEFT,43.032042,-76.1854994999999,132
-8478409.79057264,5315234.4327744,2023/09/29 00:00:00+00,1930,830,100 CHARMOUTH DR     ,,From Motor Vehicle,LARCENY,43.0214310000001,-76.1628509989999,133
-8476390.51078072,5324469.80617401,2023/07/11 00:00:00+00,2200,630,100 CHATHAM PL     ,,Motor Vehicle,MV THEFT,43.082055,-76.1447115,134
-8476390.51078072,5324469.80617401,2023/09/12 00:00:00+00,1000,1000,100 CHATHAM PL   ,,All Other,LARCENY,43.082055,-76.1447115,135
-8476390.51078072,5324469.80617401,2023/10/23 00:00:00+00,1515,1515,100 CHATHAM RD     ,,All Other,LARCENY,43.082055,-76.1447115,136
-8476390.51078072,5324469.80617401,2023/09/21 00:00:00+00,1200,1200,100 CHATHAM RD     ,,All Other,LARCENY,43.082055,-76.1447115,137
-8478253.49811889,5316563.78604797,2023/12/12 00:00:00+00,1953,1953,100 CHENEY ST ,Yes,,MURDER,43.0301610000001,-76.161447,138
-8476566.84085413,5322408.33091132,2023/12/20 00:00:00+00,1325,1325,100 CLEVELAND AVE    ,,All Other,LARCENY,43.0685280000001,-76.1462955,139
-8475599.02920118,5315356.39648669,2023/01/05 00:00:00+00,2153,2153,100 CLIFFSIDE DR     ,,From Mailbox,LARCENY,43.022232,-76.1376015,140
-8475599.02920118,5315356.39648669,2023/06/16 00:00:00+00,1710,1710,100 CLIFFSIDE DR     ,,Unknown,LARCENY,43.022232,-76.1376015,141
-8471702.23476621,5322799.19445435,2023/04/05 00:00:00+00,1601,1601,100 COLBY AV   ,Yes,,AGGRAVATED ASSAULT,43.0710930000001,-76.1025959999999,142
-8480071.40117461,5318974.92043566,2023/07/22 00:00:00+00,1900,1130,100 COLERIDGE AV   ,,Motor Vehicle,MV THEFT,43.0459920000001,-76.177777501,143
-8480071.40117461,5318974.92043566,2023/11/04 00:00:00+00,2000,1630,100 COLERIDGE AVE    ,,Motor Vehicle,MV THEFT,43.0459920000001,-76.177777501,144
-8480071.40117461,5318974.92043566,2023/07/27 00:00:00+00,0223,223,100 COLERIDGE AVE    ,,From Motor Vehicle,MV THEFT,43.0459920000001,-76.177777501,145
-8475007.42176736,5317812.45394086,2023/10/09 00:00:00+00,1448,1448,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,146
-8475007.42176736,5317812.45394086,2023/04/05 00:00:00+00,0000,900,100 COLLEGE PL     ,,From Motor Vehicle,LARCENY,43.0383600000001,-76.132287,147
-8475007.42176736,5317812.45394086,2023/05/03 00:00:00+00,2300,1700,100 COLLEGE PL     ,,From Building,LARCENY,43.0383600000001,-76.132287,148
-8475007.42176736,5317812.45394086,2023/09/21 00:00:00+00,1400,2215,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,149
-8475007.42176736,5317812.45394086,2023/02/09 00:00:00+00,1213,1252,100 COLLEGE PL     ,,From Building,LARCENY,43.0383600000001,-76.132287,150
-8479620.05618786,5322321.931704,2023/11/10 00:00:00+00,1127,1400,1 DESTINY USA DR,,Of MV Parts/Accessories,LARCENY,43.067961,-76.1737229999999,151
-8475007.42176736,5317812.45394086,2023/11/03 00:00:00+00,1000,1800,100 COLLEGE PL     ,,From Building,LARCENY,43.0383600000001,-76.132287,152
-8475007.42176736,5317812.45394086,2023/02/16 00:00:00+00,1100,1220,100 COLLEGE PL     ,Yes,From Building,LARCENY,43.0383600000001,-76.132287,153
-8475007.42176736,5317812.45394086,2023/01/25 00:00:00+00,1430,1630,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,154
-8475007.42176736,5317812.45394086,2023/11/06 00:00:00+00,1453,1453,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,155
-8475007.42176736,5317812.45394086,2023/10/11 00:00:00+00,1730,2020,100 COLLEGE PL     ,,From Building,LARCENY,43.0383600000001,-76.132287,156
-8475007.42176736,5317812.45394086,2023/04/06 00:00:00+00,1500,1500,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,157
-8475007.42176736,5317812.45394086,2023/05/10 00:00:00+00,0200,300,100 COLLEGE PL     ,,From Building,LARCENY,43.0383600000001,-76.132287,158
-8475007.42176736,5317812.45394086,2023/09/28 00:00:00+00,0158,158,100 COLLEGE PL     ,,Of Bicycle,LARCENY,43.0383600000001,-76.132287,159
-8475007.42176736,5317812.45394086,2023/10/02 00:00:00+00,1942,1942,100 COLLEGE PL     ,,From Building,LARCENY,43.0383600000001,-76.132287,160
-8475007.42176736,5317812.45394086,2023/08/29 00:00:00+00,1400,1700,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,161
-8475007.42176736,5317812.45394086,2023/05/26 00:00:00+00,0905,1615,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,162
-8479017.92906217,5315407.10097018,2023/03/22 00:00:00+00,0652,652,100 COLUMBIA AV   ,,Motor Vehicle,MV THEFT,43.022565,-76.168314,163
-8475007.42176736,5317812.45394086,2023/10/24 00:00:00+00,1500,1717,100 COLLEGE PL     ,,All Other,LARCENY,43.0383600000001,-76.132287,164
-8479017.92906217,5315407.10097018,2023/08/21 00:00:00+00,2100,700,100 COLUMBIA AV   ,,Motor Vehicle,MV THEFT,43.022565,-76.168314,165
-8479017.92906217,5315407.10097018,2023/03/27 00:00:00+00,1331,1331,100 COLUMBIA AV   ,,From Motor Vehicle,LARCENY,43.022565,-76.168314,166
-8479017.92906217,5315407.10097018,2023/10/05 00:00:00+00,0730,730,100 COLUMBIA AV   ,,All Other,LARCENY,43.022565,-76.168314,167
-8473527.15083853,5317996.13596081,2023/04/05 00:00:00+00,1803,1803,100 CONCORD PL     ,,All Other,LARCENY,43.039566,-76.1189894999999,168
-8473527.15083853,5317996.13596081,2023/08/29 00:00:00+00,2330,1156,100 CONCORD PL     ,,All Other,LARCENY,43.039566,-76.1189894999999,169
-8473527.15083853,5317996.13596081,2023/05/08 00:00:00+00,2100,900,100 CONCORD PL     ,,From Motor Vehicle,LARCENY,43.039566,-76.1189894999999,170
